name 1,name 2,genus,species
Atlantic,High,Thunnus,alalunga
Atlantic,High,Thunnus,thynnus
Baltic,Sea,Gadus,morhua
Baltic,Sea,Gadus,morhua
Baltic,Sea,Clupea,harengus
Baltic,Sea,Clupea,harengus
Baltic,Sea,Clupea,harengus
Baltic,Sea,Clupea,harengus
Baltic,Sea,Sprattus,sprattus
Barents,Sea,Gadus,morhua
Barents,Sea,Mallotus,villosus
Barents,Sea,Reinhardtius,hippoglossoides
Barents,Sea,Melanogrammus,aeglefinus
Barents,Sea,Pollachius,virens
Benguela,Current,Engraulis,encrasicolus
Benguela,Current,Trachurus,capensis
Benguela,Current,Sardinops,sagax
Benguela,Current,Palinurus,gilchristi
California,Current,Reinhardtius,stomias
California,Current,Sebastes,melanops
California,Current,Sebastes,melanops
California,Current,Sebastes,mystinus
California,Current,Sebastes,paucispinis
California,Current,Sebastes,pinniger
California,Current,Sebastes,goodei
California,Current,Sebastes,levis
California,Current,Sebastes,crameri
California,Current,Parophrys,vetulus
California,Current,Raja,rhina
California,Current,Merluccius,productus
California,Current,Sebastes,alutus
California,Current,Anoplopoma,fimbria
California,Current,Sebastes,entomelas
California,Current,Sebastes,ruberrimus
Celtic-Biscay,Shelf,Gadus,morhua
Celtic-Biscay,Shelf,Gadus,morhua
Celtic-Biscay,Shelf,Micromesistius,poutassou
Celtic-Biscay,Shelf,Solea,vulgaris
Celtic-Biscay,Shelf,Solea,vulgaris
Celtic-Biscay,Shelf,Solea,vulgaris
Celtic-Biscay,Shelf,Solea,vulgaris
Celtic-Biscay,Shelf,Solea,vulgaris
Celtic-Biscay,Shelf,Pleuronectes,platessa
Celtic-Biscay,Shelf,Pleuronectes,platessa
Celtic-Biscay,Shelf,Pleuronectes,platessa
Celtic-Biscay,Shelf,Melanogrammus,aeglefinus
Celtic-Biscay,Shelf,Merluccius,merluccius
Celtic-Biscay,Shelf,Clupea,harengus
Celtic-Biscay,Shelf,Clupea,harengus
Celtic-Biscay,Shelf,Clupea,harengus
Celtic-Biscay,Shelf,Scomber,scombrus
Celtic-Biscay,Shelf,Merlangius,merlangus
Eastern,Bering,Pleuronectes,quadrituberculatus
Eastern,Bering,Reinhardtius,stomias
Eastern,Bering,Pleurogrammus,monopterygius
Eastern,Bering,Hippoglossoides,elassodon
Eastern,Bering,Reinhardtius,hippoglossoides
Eastern,Bering,Lepidopsetta,polyxystra
Eastern,Bering,Sebastes,polyspinis
Eastern,Bering,Gadus,macrocephalus
Eastern,Bering,Sebastes,alutus
Eastern,Bering,Chionoecetes,opilio
Eastern,Bering,Chionoecetes,bairdi
Eastern,Bering,Theragra,chalcogramma
Eastern,Bering,Limanda,aspera
Eastern,Bering,Paralithodes,platypus
Eastern,Bering,Paralithodes,camtschaticus
Eastern,Bering,Paralithodes,platypus
Eastern,Bering,Paralithodes,camtschaticus
Eastern,Bering,Paralithodes,camtschaticus
Eastern,Bering,Lithodes,aequispinus
Eastern,Bering,Lithodes,aequispinus
Faroe,Plateau,Gadus,morhua
Faroe,Plateau,Melanogrammus,aeglefinus
Faroe,Plateau,Pollachius,virens
Gulf,Alaska,Parophrys,vetulus
Gulf,Alaska,Gadus,macrocephalus
Gulf,Alaska,Gadus,macrocephalus
Gulf,Alaska,Clupea,pallasii
Gulf,Alaska,Clupea,pallasii
Gulf,Alaska,Clupea,pallasii
Gulf,Alaska,Clupea,pallasii
Gulf,Alaska,Clupea,pallasii
Gulf,Alaska,Lepidopsetta,bilineata
Gulf,Alaska,Anoplopoma,fimbria
Gulf,Mexico,Mycteroperca,microlepis
Gulf,Mexico,Brevoortia,patronus
Iberian,Coastal,Lepidorhombus,boscii
Iberian,Coastal,Lepidorhombus,whiffiagonis
Iceland,Shelf,Gadus,morhua
Iceland,Shelf,Mallotus,villosus
Iceland,Shelf,Melanogrammus,aeglefinus
Iceland,Shelf,Clupea,harengus
Mediterranean,Sea,Xiphias,gladius
New,Zealand,Genypterus,blacodes
New,Zealand,Genypterus,blacodes
New,Zealand,Genypterus,blacodes
New,Zealand,Genypterus,blacodes
New,Zealand,Genypterus,blacodes
New,Zealand,Allocyttus,niger
New,Zealand,Haliotis,iris
New,Zealand,Haliotis,iris
New,Zealand,Haliotis,iris
New,Zealand,Haliotis,iris
New,Zealand,Rexea,solandri
New,Zealand,Macruronus,novaezelandiae
New,Zealand,Macruronus,novaezelandiae
New,Zealand,Chrysophrys,auratus
New,Zealand,Pseudocyttus,maculatus
New,Zealand,Micromesistius,australis
New,Zealand,Merluccius,australis
New,Zealand,Merluccius,australis
New,Zealand,Pseudocaranx,dentex
Newfoundland-Labrador,Shelf,Hippoglossoides,platessoides
Newfoundland-Labrador,Shelf,Hippoglossoides,platessoides
Newfoundland-Labrador,Shelf,Gadus,morhua
Newfoundland-Labrador,Shelf,Gadus,morhua
Newfoundland-Labrador,Shelf,Gadus,morhua
Newfoundland-Labrador,Shelf,Reinhardtius,hippoglossoides
Newfoundland-Labrador,Shelf,Redfish,species
North,Sea,Gadus,morhua
North,Sea,Gadus,morhua
North,Sea,Solea,vulgaris
North,Sea,Melanogrammus,aeglefinus
North,Sea,Clupea,harengus
North,Sea,Trisopterus,esmarkii
North,Sea,Pollachius,virens
North,Sea,Ammodytes,marinus
North,Sea,Merlangius,merlangus
Northeast,U.S.,Homarus,americanus
Northeast,U.S.,Hippoglossoides,platessoides
Northeast,U.S.,Gadus,morhua
Northeast,U.S.,Gadus,morhua
Northeast,U.S.,Gadus,morhua
Northeast,U.S.,Melanogrammus,aeglefinus
Northeast,U.S.,Melanogrammus,aeglefinus
Northeast,U.S.,Melanogrammus,aeglefinus
Northeast,U.S.,Pollachius,virens
Northeast,U.S.,Tautoga,onitis
Northeast,U.S.,Pseudopleuronectes,americanus
Northeast,U.S.,Pseudopleuronectes,americanus
Northeast,U.S.,Limanda,ferruginea
Northeast,U.S.,Brevoortia,tyrannus
Norwegian,Sea,Gadus,morhua
Pacific,High,Thunnus,alalunga
Pacific,High,Thunnus,obesus
Pacific,High,Katsuwonus,pelamis
Pacific,High,Thunnus,albacares
Patagonian,Shelf,Merluccius,hubbsi
Patagonian,Shelf,Merluccius,hubbsi
Patagonian,Shelf,Macruronus,magellanicus
Patagonian,Shelf,Micromesistius,australis
Scotian,Shelf,Gadus,morhua
Southern,Australian,Genypterus,blacodes
Southern,Australian,Genypterus,blacodes
Southern,Australian,Seriolella,brama
Southern,Australian,Seriolella,brama
Southern,Australian,Rexea,solandri
Southern,Australian,Platycephalus,conatus
Southern,Australian,Nemadactylus,macropterus
Southern,Australian,Hoplostethus,atlanticus
Southern,Australian,Sillago,flindersi
Southern,Australian,Seriolella,punctata
Southern,Australian,Neoplatycephalus,richardsoni
Southeast,U.S.,Pagrus,pagrus
Southeast,U.S.,Scomberomorus,maculatus
