system,genus,species
California current,Reinhardtius,stomias
California current,Sebastes,melanops
California current,Sebastes,melanops
California current,Sebastes,mystinus
California current,Sebastes,paucispinis
California current,Sebastes,pinniger
California current,Sebastes,goodei
California current,Sebastes,levis
California current,Sebastes,crameri
California current,Parophrys,vetulus
California current,Raja,rhina
California current,Merluccius,productus
California current,Sebastes,alutus
California current,Anoplopoma,fimbria
California current,Sebastes,entomelas
California current,Sebastes,ruberrimus
